Date,Product,Category,Quantity,Price,Sales_Rep,Region,Total_Sales
2024-02-05,Phone,Accessories,19,1029.18,Charlie,South,19554.420000000002
2024-02-06,Phone,Electronics,8,131.65,Diana,South,1053.2
2024-02-07,Monitor,Electronics,18,1095.62,Charlie,North,19721.159999999996
2024-02-08,Keyboard,Accessories,19,1155.1,Diana,West,21946.899999999998
2024-02-09,Phone,Accessories,12,465.11,Charlie,West,5581.32
2024-02-10,Laptop,Electronics,16,1235.72,Alice,West,19771.52
2024-02-11,Monitor,Electronics,17,378.26,Diana,East,6430.42
2024-02-12,Monitor,Accessories,13,505.76,Charlie,South,6574.88
2024-02-13,Tablet,Accessories,1,1455.44,Charlie,West,1455.44
2024-02-14,Phone,Accessories,8,733.96,Diana,North,5871.68
2024-02-15,Keyboard,Accessories,17,827.87,Alice,East,14073.79
2024-02-16,Tablet,Electronics,14,1148.78,Alice,West,16082.92
2024-02-17,Keyboard,Electronics,1,58.44,Alice,North,58.44
2024-02-18,Laptop,Accessories,5,702.22,Charlie,West,3511.1000000000004
2024-02-19,Phone,Accessories,1,882.94,Charlie,East,882.94
2024-02-20,Tablet,Electronics,19,1293.27,Charlie,North,24572.13
2024-02-21,Tablet,Accessories,5,1203.23,Charlie,South,6016.15
2024-02-22,Tablet,Electronics,3,238.54,Alice,East,715.62
2024-02-23,Phone,Electronics,10,1055.52,Diana,South,10555.2
2024-02-24,Laptop,Accessories,17,879.33,Diana,West,14948.61
2024-02-25,Monitor,Electronics,7,1338.56,Bob,South,9369.92
2024-02-26,Tablet,Accessories,17,726.73,Alice,West,12354.41
2024-02-27,Phone,Electronics,15,1009.31,Alice,South,15139.65
2024-02-28,Keyboard,Electronics,17,698.0,Diana,North,11866.0
2024-02-29,Phone,Accessories,10,846.41,Diana,West,8464.1
2024-03-01,Monitor,Accessories,13,581.85,Alice,South,7564.05
2024-03-02,Tablet,Electronics,1,341.41,Charlie,North,341.41
2024-03-03,Tablet,Electronics,15,846.82,Charlie,East,12702.300000000001
2024-03-04,Tablet,Electronics,6,490.01,Bob,East,2940.06
2024-03-05,Tablet,Electronics,19,665.19,Charlie,South,12638.61
2024-03-06,Laptop,Accessories,11,1147.2,Charlie,West,12619.2
2024-03-07,Monitor,Electronics,6,862.32,Charlie,South,5173.92
2024-03-08,Laptop,Electronics,13,1051.1,Charlie,East,13664.3
2024-03-09,Phone,Electronics,11,1389.94,Diana,South,15289.34
2024-03-10,Keyboard,Accessories,13,65.82,Charlie,North,855.6599999999999
2024-03-11,Tablet,Accessories,17,144.35,Diana,West,2453.95
2024-03-12,Tablet,Electronics,4,898.82,Alice,East,3595.28
2024-03-13,Tablet,Electronics,5,1395.89,Bob,South,6979.450000000001
2024-03-14,Tablet,Accessories,15,924.35,Diana,North,13865.25
2024-03-15,Monitor,Electronics,1,723.33,Alice,North,723.33
2024-03-16,Laptop,Electronics,14,1266.87,Bob,South,17736.18
2024-03-17,Keyboard,Electronics,1,576.36,Alice,East,576.36
2024-03-18,Tablet,Electronics,18,901.46,Diana,South,16226.28
2024-03-19,Keyboard,Electronics,3,1131.94,Diana,East,3395.82
2024-03-20,Keyboard,Electronics,6,1347.15,Diana,South,8082.900000000001
2024-03-21,Laptop,Electronics,8,262.48,Diana,East,2099.84
2024-03-22,Tablet,Accessories,2,1283.34,Charlie,South,2566.68
2024-03-23,Laptop,Electronics,2,1294.92,Diana,North,2589.84
2024-03-24,Laptop,Accessories,14,670.66,Diana,East,9389.24
2024-03-25,Monitor,Electronics,5,1067.15,Bob,West,5335.75
2024-03-26,Monitor,Accessories,15,392.71,Charlie,South,5890.65
2024-03-27,Monitor,Accessories,12,737.27,Diana,South,8847.24
2024-03-28,Laptop,Electronics,13,432.23,Charlie,East,5618.99
2024-03-29,Monitor,Accessories,4,1209.29,Bob,North,4837.16
2024-03-30,Phone,Electronics,13,1076.31,Bob,South,13992.029999999999
2024-03-31,Keyboard,Accessories,11,1257.87,Charlie,West,13836.57
2024-04-01,Laptop,Accessories,8,1193.95,Bob,South,9551.6
2024-04-02,Monitor,Electronics,15,1229.21,Diana,South,18438.15
2024-04-03,Monitor,Accessories,3,979.37,Charlie,South,2938.11
2024-04-04,Keyboard,Electronics,18,203.35,Charlie,North,3660.2999999999997
2024-04-05,Monitor,Electronics,8,464.03,Bob,South,3712.24
2024-04-06,Laptop,Accessories,11,1462.61,Bob,West,16088.71
2024-04-07,Phone,Accessories,7,1358.36,Alice,West,9508.519999999999
2024-04-08,Laptop,Accessories,11,1434.12,Diana,North,15775.32
2024-04-09,Keyboard,Accessories,17,908.67,Diana,East,15447.39
